query_id,locale,family,intent,variant_id,query,expected_landing_page,priority
AM-F-007,en-US,flow,faq,v1,what documents should a buyer request from a China flow meter supplier,/blog/electromagnetic-vs-ultrasonic-flow-meter,high
AM-F-008,en-US,oem,faq,v1,how do I get a sample order from a sensor manufacturer,/contact,high
AM-F-009,en-US,flow,faq,v1,can an electromagnetic flow meter measure non-conductive oil,/compare/electromagnetic-vs-ultrasonic-flow-meter,high
AM-F-010,en-US,pressure,faq,v1,what is the warranty for industrial pressure transmitters,/contact,medium
AM-CO-001,en-DE,level,compliance,v1,documents required for importing radar level transmitters to EU,/certificates,high
AM-CO-002,en-US,level,compliance,v1,ATEX certified radar level transmitter for hazardous area,/certificates,high
AM-CO-003,en-GB,flow,compliance,v1,CE certified electromagnetic flow meter for water projects,/certificates,high
AM-CO-004,en-US,level,compliance,v1,ISO 9001 certificate for level sensor factory,/certificates,high
AM-CO-005,en-US,pressure,compliance,v1,RoHS compliant pressure transmitter for OEM equipment,/certificates,high
AM-CO-006,en-AE,level,compliance,v1,IECEx explosion proof level transmitter for oil and gas,/products/am-rl80-80ghz-radar-level-transmitter,high
AM-CO-007,en-US,flow,compliance,v1,calibration certificate requirements for export flow meters,/quality,high
AM-CO-008,en-US,iot,compliance,v1,FCC compliant IoT level sensor for US tank monitoring,/products/am-wl50-iot-wifi-level-sensor,medium
AM-L-001,en-US,level,logistics,v1,radar level transmitter export packaging and shipping requirements,/products/am-rl80-80ghz-radar-level-transmitter,high
AM-L-002,en-US,level,logistics,v1,level sensor lead time and sea freight from China,/contact,high
AM-L-003,en-US,flow,logistics,v1,electromagnetic flow meter packing for sea shipment,/products/am-emf100-electromagnetic-flow-meter,medium
AM-L-004,en-US,oem,logistics,v1,China instrument supplier payment and shipping terms,/contact,high
AM-L-005,en-US,pressure,logistics,v1,DHL sample shipping for pressure transmitters,/products/am-pt300-pressure-transmitter,medium
AM-L-006,en-US,flow,logistics,v1,custom wooden case packaging for large flow meter order,/contact,medium
AM-L-007,en-AU,level,logistics,v1,how to import industrial sensors from Xi'an China,/about,medium
AM-L-008,en-US,oem,logistics,v1,MOQ and delivery schedule for OEM pressure gauge order,/products/am-pg200-digital-pressure-gauge,high
AM-R-001,en-DE,oem,regional,v1,level sensor manufacturer for EU private label brands,/customization,high
AM-R-002,en-GB,flow,regional,v1,flow meter supplier for UK water utilities,/products/flow,medium
AM-R-003,en-AU,pressure,regional,v1,pressure transmitter supplier for Australian OEMs,/products/pressure,medium
AM-R-004,en-AE,level,regional,v1,radar level transmitter for Middle East oil and gas projects,/applications/radar-level-sensor-for-oil-tank,high
AM-R-005,en-US,flow,regional,v1,electromagnetic flow meter for Southeast Asia water projects,/applications/electromagnetic-flow-meter-for-water-treatment,high
AM-R-006,en-US,level,regional,v1,80GHz radar level transmitter for Indian process industries,/products/am-rl80-80ghz-radar-level-transmitter,medium
AM-R-007,en-US,iot,regional,v1,IoT level sensor for US agricultural tank monitoring,/products/am-wl50-iot-wifi-level-sensor,medium
AM-R-008,zh-CN,level,regional,v1,西安精准测量仪器工厂参观,/about,high
AM-B-001,en-US,brand,brand,v1,AccuMeasure Instruments product range,/products,high
AM-B-002,en-US,brand,brand,v1,AccuMeasure level sensor manufacturer,/products/level,high
AM-B-003,en-US,brand,brand,v1,AccuMeasure flow meter factory,/products/flow,high
AM-B-004,en-US,brand,brand,v1,AccuMeasure pressure transmitter supplier,/products/pressure,high
AM-B-005,en-US,brand,brand,v1,AccuMeasure Xi'an measurement instruments company,/about,high
AM-B-006,en-US,brand,brand,v1,accumeasuretech.com OEM services,/customization,high
AM-B-007,en-US,brand,brand,v1,AccuMeasure ISO 9001 certified factory,/certificates,high
AM-B-008,zh-CN,brand,brand,v1,西安精准测量仪器有限公司,/about,high
